Voltage,Current,Frequency,Temperature,Fault,Shutdown
0,0.0,0.0,22,Line Break,Yes
223,6.64,49.97,31,Normal,No
14,0.0,0.0,25,Line Break,Yes
237,7.84,49.83,34,Normal,No
8,0.0,0.0,30,Line Break,Yes
295,5.25,50.48,38,Overvoltage,Yes
230,6.08,49.93,29,Normal,No
251,18.94,49.82,45,Overload,Yes
294,7.42,50.98,34,Overvoltage,Yes
264,9.08,50.27,31,Overvoltage,Yes
271,6.91,50.87,42,Overvoltage,Yes
223,5.79,49.86,32,Normal,No
275,7.6,50.57,41,Overvoltage,Yes
269,9.06,50.84,44,Overvoltage,Yes
15,0.0,0.0,23,Line Break,Yes
138,3.47,49.01,29,Undervoltage,Yes
292,8.55,50.53,41,Overvoltage,Yes
15,0.0,0.0,26,Line Break,Yes
225,3.23,49.97,29,Normal,No
171,3.3,49.97,27,Undervoltage,Yes
173,2.4,49.88,35,Undervoltage,Yes
161,3.7,49.67,27,Undervoltage,Yes
136,4.42,49.49,35,Undervoltage,Yes
294,5.23,50.84,41,Overvoltage,Yes
250,16.58,49.94,49,Overload,Yes
221,7.39,49.93,35,Normal,No
19,0.0,0.0,25,Line Break,Yes
256,12.21,49.98,46,Overload,Yes
154,5.82,49.56,34,Undervoltage,Yes
229,4.65,50.07,32,Normal,No
113,3.56,49.09,35,Undervoltage,Yes
253,16.67,50.13,45,Overload,Yes
281,8.91,50.14,37,Overvoltage,Yes
254,19.36,49.85,52,Overload,Yes
7,0.0,0.0,24,Line Break,Yes
285,6.78,50.69,31,Overvoltage,Yes
238,4.7,49.87,29,Normal,No
223,6.04,49.88,27,Normal,No
256,11.96,50.11,52,Overload,Yes
14,0.0,0.0,30,Line Break,Yes
278,9.22,50.07,45,Overvoltage,Yes
18,0.0,0.0,21,Line Break,Yes
113,2.98,49.9,27,Undervoltage,Yes
261,5.07,50.47,34,Overvoltage,Yes
222,6.21,50.01,30,Normal,No
238,3.38,50.09,35,Normal,No
244,18.07,49.9,47,Overload,Yes
